env_type,distance_m,num_walls,has_metal,frequency_mhz,ant_0_rssi_dbm,ant_1_rssi_dbm,ant_2_rssi_dbm,best_ant
rural,76.052,0,0,2400.0,-67.595,-66.909,-58.675,2
urban,82.419,0,0,2400.0,-82.437,-82.257,-79.961,2
indoor,79.427,0,0,915.0,-94.59,-88.581,-93.103,1
indoor,150.947,1,0,2400.0,-101.52,-99.882,-101.327,1
indoor,9.989,3,0,915.0,-72.951,-73.157,-73.369,0
rural,196.929,0,1,915.0,-88.221,-87.724,-82.469,2
indoor,111.027,0,0,2400.0,-92.057,-92.384,-92.266,0
indoor,170.535,2,0,2400.0,-102.28,-103.698,-105.323,0
indoor,188.366,0,1,2400.0,-103.375,-106.941,-107.129,0
urban,90.522,0,0,915.0,-83.483,-82.358,-82.261,2
urban,50.433,0,0,915.0,-81.048,-77.883,-80.209,1
urban,98.631,0,0,915.0,-85.955,-86.87,-86.7,0
indoor,190.498,2,0,2400.0,-104.916,-103.046,-104.232,1
rural,64.985,0,0,915.0,-66.362,-68.34,-68.152,0
indoor,197.732,2,0,2400.0,-108.088,-107.663,-103.456,2
urban,124.919,0,0,2400.0,-85.389,-81.867,-86.781,1
urban,128.164,0,0,2400.0,-87.349,-88.065,-85.099,2
indoor,31.313,1,1,2400.0,-86.171,-86.976,-82.61,2
urban,120.339,0,0,2400.0,-89.798,-84.897,-84.832,2
rural,9.01,0,0,2400.0,-48.567,-50.052,-49.302,0
indoor,189.56,1,0,2400.0,-99.215,-101.529,-102.505,0
urban,129.767,0,0,2400.0,-87.892,-84.771,-87.548,1
indoor,133.83,2,0,2400.0,-101.349,-104.934,-104.409,0
urban,26.743,0,0,915.0,-72.054,-68.963,-70.262,1
rural,41.302,0,0,2400.0,-63.531,-67.97,-61.229,2
urban,64.778,0,1,2400.0,-84.202,-85.459,-84.196,2
urban,175.146,0,0,915.0,-91.917,-91.537,-96.218,1
urban,98.475,0,0,915.0,-88.876,-88.418,-88.214,2
rural,168.821,0,1,915.0,-84.422,-83.338,-75.699,2
urban,48.805,0,0,2400.0,-74.361,-74.593,-74.977,0
urban,44.552,0,0,915.0,-78.993,-76.832,-79.962,1
urban,167.996,0,0,2400.0,-90.375,-92.17,-91.156,0
rural,39.326,0,0,915.0,-57.842,-66.032,-59.177,0
indoor,28.462,1,1,915.0,-86.483,-89.458,-90.222,0
indoor,85.276,1,0,2400.0,-92.365,-88.359,-88.477,1
urban,195.356,0,0,2400.0,-88.827,-89.617,-90.856,0
urban,71.314,0,0,2400.0,-81.822,-76.077,-78.435,1
urban,160.476,0,0,2400.0,-89.947,-88.591,-89.849,1
indoor,31.552,1,0,915.0,-82.721,-81.936,-82.207,1
urban,164.802,0,0,915.0,-93.805,-97.738,-95.33,0
urban,164.021,0,0,915.0,-89.916,-92.283,-92.944,0
urban,150.303,0,0,915.0,-97.881,-96.385,-93.339,2
urban,24.663,0,0,915.0,-67.686,-66.958,-69.673,1
rural,28.305,0,0,915.0,-60.176,-61.344,-59.817,2
rural,174.699,0,0,2400.0,-76.054,-75.682,-77.614,1
urban,110.631,0,0,915.0,-83.873,-88.706,-89.186,0
urban,97.752,0,0,915.0,-87.093,-90.181,-88.686,0
indoor,54.869,1,0,915.0,-90.28,-87.197,-89.206,1
indoor,179.008,1,1,915.0,-107.643,-111.304,-109.187,0
indoor,117.568,0,0,915.0,-91.303,-98.161,-99.222,0
urban,36.052,0,0,2400.0,-73.522,-73.118,-74.736,1
indoor,53.697,1,1,2400.0,-92.482,-98.028,-95.843,0
indoor,124.294,0,1,2400.0,-94.907,-97.806,-97.877,0
indoor,80.852,2,0,2400.0,-94.905,-97.038,-98.191,0
urban,194.206,0,0,2400.0,-93.564,-91.017,-90.857,2
indoor,21.553,2,0,915.0,-76.616,-79.558,-81.159,0
rural,78.907,0,0,915.0,-67.309,-72.793,-68.246,0
urban,64.822,0,0,915.0,-82.011,-76.866,-83.021,1
urban,78.43,0,0,2400.0,-81.075,-80.74,-83.741,1
rural,119.882,0,0,2400.0,-68.033,-68.152,-71.512,0
rural,116.217,0,0,2400.0,-67.555,-70.596,-70.85,0
urban,170.577,0,0,915.0,-91.622,-92.76,-92.885,0
indoor,175.874,1,0,2400.0,-101.142,-106.179,-101.212,0
rural,192.752,0,1,915.0,-87.993,-87.212,-82.865,2
indoor,21.12,2,1,2400.0,-78.959,-89.686,-84.61,0
indoor,159.155,1,0,2400.0,-94.264,-100.062,-99.615,0
urban,138.335,0,0,2400.0,-87.661,-91.012,-87.733,0
urban,104.928,0,0,2400.0,-84.674,-82.009,-89.759,1
indoor,189.517,3,0,2400.0,-108.664,-110.824,-108.76,0
indoor,107.386,2,0,2400.0,-94.939,-98.201,-99.561,0
rural,167.658,0,0,915.0,-73.067,-76.384,-76.69,0
rural,113.922,0,0,915.0,-75.334,-71.799,-76.623,1
indoor,38.683,0,1,915.0,-82.97,-84.185,-90.771,0
rural,168.589,0,1,915.0,-83.96,-82.688,-80.409,2
urban,179.885,0,1,915.0,-107.421,-100.347,-100.565,1
indoor,78.91,0,0,2400.0,-85.373,-89.203,-89.594,0
urban,8.0,0,0,2400.0,-49.528,-52.177,-55.34,0
rural,195.461,0,0,915.0,-80.034,-79.434,-78.353,2
indoor,114.145,3,0,2400.0,-105.444,-99.071,-99.804,1
indoor,45.96,2,0,2400.0,-86.695,-85.895,-84.368,2
urban,134.898,0,0,2400.0,-85.673,-84.946,-88.687,1
indoor,22.355,1,0,915.0,-77.319,-84.108,-80.237,0
urban,84.931,0,0,2400.0,-78.288,-81.745,-81.86,0
rural,94.332,0,1,2400.0,-77.276,-76.507,-73.218,2
urban,156.57,0,0,915.0,-86.826,-91.649,-88.012,0
urban,134.699,0,1,2400.0,-95.427,-91.644,-91.521,2
urban,147.578,0,0,2400.0,-92.783,-87.59,-86.251,2
urban,149.707,0,1,915.0,-98.441,-92.094,-101.576,1
indoor,40.336,0,0,915.0,-79.821,-79.202,-83.57,1
indoor,96.203,0,0,2400.0,-90.336,-89.552,-92.052,1
urban,14.916,0,0,915.0,-67.03,-61.674,-67.008,1
rural,48.91,0,0,2400.0,-63.262,-64.517,-61.541,2
indoor,150.604,1,0,915.0,-99.602,-107.335,-106.947,0
urban,186.071,0,0,915.0,-95.45,-98.799,-97.732,0
urban,178.066,0,1,2400.0,-93.868,-93.069,-97.692,1
urban,99.369,0,0,2400.0,-82.952,-80.772,-87.338,1
indoor,45.81,5,0,2400.0,-93.219,-97.921,-102.781,0
urban,59.964,0,0,915.0,-84.891,-82.084,-82.327,1
urban,166.99,0,0,2400.0,-87.884,-87.29,-90.877,1
rural,28.871,0,0,915.0,-64.965,-64.148,-61.585,2
rural,53.655,0,0,2400.0,-64.829,-65.342,-62.738,2
indoor,167.19,0,0,915.0,-97.173,-105.78,-99.78,0
indoor,104.264,1,0,915.0,-102.763,-95.045,-100.265,1
urban,96.404,0,1,2400.0,-89.805,-90.695,-89.126,2
urban,81.268,0,1,915.0,-93.317,-90.085,-87.716,2
urban,40.912,0,0,915.0,-72.956,-74.381,-75.763,0
rural,160.741,0,0,2400.0,-74.529,-74.126,-74.818,1
urban,45.713,0,0,915.0,-76.883,-78.893,-76.149,2
urban,156.798,0,0,915.0,-89.763,-97.754,-88.517,2
indoor,173.617,1,0,2400.0,-100.03,-99.98,-98.977,2
urban,88.803,0,1,915.0,-95.398,-89.763,-97.655,1
indoor,48.429,1,0,2400.0,-83.8,-85.789,-86.32,0
indoor,147.568,2,0,915.0,-103.188,-105.246,-100.0,2
indoor,128.006,2,0,2400.0,-99.512,-99.512,-102.964,0
indoor,196.016,1,0,915.0,-102.91,-104.97,-108.096,0
indoor,44.811,2,0,915.0,-87.459,-90.905,-89.339,0
indoor,189.085,0,0,2400.0,-101.055,-99.629,-102.422,1
urban,156.075,0,0,915.0,-96.881,-91.328,-95.257,1
urban,127.477,0,0,2400.0,-81.889,-87.28,-86.697,0
indoor,177.724,1,0,2400.0,-100.575,-103.524,-101.676,0
rural,67.1,0,0,915.0,-67.032,-72.844,-69.207,0
rural,15.737,0,0,915.0,-59.016,-57.687,-54.381,2
urban,176.553,0,0,915.0,-97.632,-94.619,-91.641,2
urban,34.773,0,0,2400.0,-71.135,-71.885,-68.42,2
rural,66.71,0,0,2400.0,-68.226,-65.899,-66.713,1
indoor,138.091,1,0,2400.0,-94.257,-96.133,-94.43,0
urban,125.086,0,0,915.0,-91.805,-90.737,-92.404,1
urban,82.398,0,0,2400.0,-79.424,-83.324,-75.206,2
indoor,166.12,2,0,915.0,-105.916,-110.526,-107.032,0
urban,147.766,0,0,2400.0,-88.14,-93.969,-91.537,0
urban,94.196,0,1,2400.0,-88.345,-86.06,-93.945,1
indoor,86.957,2,0,915.0,-98.334,-99.873,-99.972,0
urban,65.921,0,0,915.0,-81.887,-86.22,-80.826,2
urban,151.463,0,0,915.0,-97.057,-96.409,-91.39,2
indoor,53.311,4,1,915.0,-101.338,-103.281,-107.491,0
indoor,88.522,4,0,2400.0,-100.675,-100.965,-103.192,0
urban,82.256,0,0,2400.0,-82.978,-80.982,-80.012,2
rural,89.81,0,0,915.0,-72.178,-74.756,-71.122,2
indoor,36.223,1,0,915.0,-84.431,-83.623,-80.992,2
indoor,121.707,1,0,915.0,-96.42,-98.755,-99.487,0
indoor,180.877,1,0,2400.0,-102.062,-104.207,-104.883,0
urban,60.754,0,0,2400.0,-74.393,-81.522,-76.844,0
indoor,142.57,0,0,2400.0,-96.58,-94.122,-99.524,1
urban,21.457,0,0,2400.0,-68.595,-70.642,-67.118,2
indoor,91.524,1,0,2400.0,-88.968,-90.839,-93.671,0
rural,190.434,0,0,2400.0,-75.527,-76.969,-73.506,2
rural,110.514,0,0,915.0,-71.142,-81.437,-73.558,0
urban,31.562,0,0,2400.0,-73.012,-67.21,-75.781,1
urban,102.456,0,0,2400.0,-86.628,-81.419,-82.953,1
indoor,93.321,2,1,2400.0,-101.483,-105.004,-104.793,0
urban,185.407,0,0,915.0,-100.07,-94.868,-99.026,1
urban,68.607,0,0,2400.0,-74.38,-78.741,-79.469,0
indoor,169.294,2,1,915.0,-114.378,-113.002,-115.414,1
indoor,31.385,1,0,2400.0,-77.923,-79.478,-77.41,2
urban,56.648,0,0,2400.0,-80.487,-74.711,-82.569,1
indoor,50.411,1,0,2400.0,-83.798,-85.206,-87.541,0
indoor,103.512,1,0,915.0,-95.442,-96.726,-95.292,2
urban,57.677,0,0,2400.0,-77.576,-78.174,-72.512,2
indoor,89.543,1,0,915.0,-95.093,-98.135,-92.786,2
indoor,96.48,2,0,2400.0,-91.858,-96.135,-97.603,0
indoor,85.307,3,0,2400.0,-101.409,-97.017,-105.934,1
indoor,106.614,1,0,2400.0,-94.627,-94.05,-93.492,2
urban,37.083,0,0,915.0,-72.857,-72.813,-70.272,2
urban,72.898,0,1,915.0,-87.683,-87.39,-88.979,1
indoor,8.757,1,0,2400.0,-60.936,-60.313,-64.003,1
urban,142.361,0,0,2400.0,-91.559,-83.136,-87.959,1
urban,107.117,0,0,915.0,-88.068,-85.96,-88.377,1
indoor,22.542,0,0,2400.0,-69.748,-73.805,-71.676,0
indoor,68.463,1,0,915.0,-90.856,-89.196,-90.209,1
urban,106.833,0,0,915.0,-86.785,-86.767,-86.281,2
rural,87.436,0,0,2400.0,-66.957,-71.045,-72.354,0
rural,154.248,0,0,2400.0,-75.849,-72.035,-73.464,1
urban,120.88,0,1,915.0,-94.919,-93.772,-94.107,1
urban,53.777,0,0,915.0,-80.305,-78.8,-79.288,1
rural,85.768,0,0,2400.0,-70.989,-68.697,-67.737,2
indoor,71.034,1,0,2400.0,-88.099,-83.199,-90.989,1
rural,167.789,0,0,2400.0,-72.68,-73.898,-70.347,2
indoor,185.99,0,0,2400.0,-99.183,-99.82,-101.441,0
rural,14.438,0,0,915.0,-54.064,-57.709,-56.481,0
rural,38.009,0,0,915.0,-66.584,-62.567,-64.32,1
indoor,21.726,3,1,2400.0,-78.878,-90.883,-89.455,0
indoor,71.678,1,0,915.0,-91.031,-92.239,-91.566,0
indoor,8.712,1,0,915.0,-66.066,-68.412,-64.417,2
indoor,64.712,1,0,915.0,-92.823,-93.493,-91.303,2
indoor,40.195,0,0,915.0,-82.632,-82.448,-81.941,2
indoor,117.916,4,0,915.0,-107.079,-107.106,-106.726,2
indoor,112.84,0,0,915.0,-96.087,-98.678,-95.132,2
urban,151.159,0,0,2400.0,-91.394,-87.559,-88.967,1
indoor,172.209,1,0,2400.0,-95.925,-102.89,-104.192,0
rural,153.078,0,0,915.0,-77.798,-73.662,-76.95,1
urban,62.218,0,0,2400.0,-82.191,-79.597,-79.073,2
urban,189.826,0,0,915.0,-93.216,-100.157,-92.219,2
indoor,104.821,1,1,2400.0,-101.375,-99.768,-101.601,1
indoor,58.207,0,0,2400.0,-86.865,-84.088,-82.908,2
indoor,81.251,0,0,915.0,-93.248,-85.837,-92.319,1
urban,116.507,0,0,2400.0,-82.829,-84.399,-85.145,0
urban,173.779,0,0,2400.0,-94.231,-88.663,-88.126,2
urban,58.324,0,0,2400.0,-75.159,-70.547,-80.053,1
indoor,5.728,0,1,2400.0,-59.126,-57.816,-60.972,1
urban,100.632,0,1,915.0,-92.578,-90.466,-92.434,1
urban,177.381,0,0,2400.0,-91.241,-89.008,-85.635,2
urban,92.983,0,0,2400.0,-80.096,-82.418,-89.605,0
indoor,174.549,1,0,2400.0,-103.939,-100.106,-101.842,1
indoor,152.688,1,0,2400.0,-96.204,-95.315,-100.489,1
indoor,3.176,2,0,2400.0,-49.483,-50.428,-51.502,0
urban,178.616,0,0,915.0,-99.634,-93.093,-93.258,1
indoor,186.457,2,0,2400.0,-100.717,-102.319,-107.087,0
indoor,186.361,0,0,915.0,-101.49,-97.721,-102.99,1
urban,14.656,0,0,2400.0,-61.499,-61.466,-60.006,2
urban,65.17,0,0,2400.0,-80.315,-82.301,-77.808,2
urban,151.468,0,1,915.0,-102.325,-96.703,-100.294,1
urban,10.766,0,0,915.0,-61.823,-58.041,-61.227,1
urban,128.668,0,0,2400.0,-85.316,-88.421,-91.574,0
indoor,105.953,2,0,2400.0,-101.31,-101.357,-95.978,2
urban,118.681,0,0,2400.0,-91.626,-89.961,-87.21,2
indoor,11.026,0,0,915.0,-57.957,-65.167,-64.167,0
indoor,22.044,1,0,2400.0,-75.494,-76.257,-74.108,2
indoor,184.737,2,0,2400.0,-102.248,-98.488,-106.937,1
urban,190.149,0,0,2400.0,-92.343,-89.483,-94.104,1
urban,128.821,0,0,915.0,-91.729,-94.123,-94.909,0
indoor,167.492,0,0,2400.0,-97.955,-97.821,-94.414,2
indoor,125.606,1,1,2400.0,-100.31,-104.739,-103.379,0
urban,128.203,0,0,2400.0,-82.172,-88.416,-86.87,0
indoor,3.467,1,0,915.0,-47.741,-51.691,-50.047,0
indoor,64.613,0,0,915.0,-87.28,-92.956,-89.245,0
urban,5.983,0,0,915.0,-50.589,-51.2,-49.966,2
urban,149.6,0,0,2400.0,-89.291,-89.527,-84.956,2
urban,199.116,0,0,2400.0,-93.342,-91.348,-88.986,2
urban,124.363,0,0,2400.0,-86.891,-90.358,-82.324,2
indoor,1.775,1,0,2400.0,-37.405,-39.62,-41.364,0
rural,130.861,0,0,2400.0,-74.8,-76.591,-69.8,2
rural,190.182,0,0,915.0,-79.78,-76.71,-76.993,1
indoor,29.687,1,0,915.0,-80.299,-81.613,-86.141,0
urban,54.956,0,0,915.0,-77.82,-75.631,-76.094,1
rural,175.618,0,1,915.0,-81.431,-86.319,-81.662,0
urban,69.178,0,0,915.0,-77.019,-80.401,-78.918,0
rural,126.4,0,0,915.0,-77.73,-71.855,-69.79,2
indoor,143.608,3,1,915.0,-110.677,-113.929,-113.542,0
rural,198.627,0,0,915.0,-83.388,-81.124,-74.173,2
indoor,113.528,0,0,2400.0,-87.425,-91.873,-92.141,0
indoor,98.83,2,0,915.0,-97.624,-101.691,-101.564,0
urban,116.818,0,0,915.0,-86.709,-90.263,-84.791,2
indoor,160.315,1,0,2400.0,-95.567,-95.984,-102.691,0
indoor,102.718,4,0,915.0,-104.183,-108.524,-108.636,0
rural,138.062,0,0,915.0,-78.534,-78.203,-70.393,2
rural,46.76,0,0,915.0,-65.688,-60.134,-66.959,1
indoor,28.76,1,0,2400.0,-75.893,-79.64,-78.714,0
rural,71.701,0,0,2400.0,-68.279,-70.883,-67.167,2
indoor,79.298,1,0,915.0,-89.636,-94.887,-92.913,0
indoor,106.395,2,0,2400.0,-94.026,-98.362,-96.319,0
urban,42.048,0,0,2400.0,-74.241,-69.924,-79.116,1
rural,17.076,0,1,915.0,-64.31,-59.598,-58.91,2
urban,105.494,0,0,2400.0,-82.284,-86.707,-83.039,0
rural,89.608,0,0,2400.0,-68.346,-76.401,-67.291,2
urban,177.597,0,0,915.0,-96.949,-93.752,-93.83,1
indoor,27.909,0,0,2400.0,-72.233,-70.148,-78.709,1
urban,137.683,0,0,2400.0,-87.974,-82.447,-91.411,1
urban,197.701,0,0,2400.0,-92.948,-91.356,-93.499,1
urban,154.309,0,1,915.0,-100.532,-96.081,-100.378,1
indoor,66.427,1,0,915.0,-91.264,-89.472,-90.768,1
indoor,112.176,0,0,915.0,-92.788,-94.056,-93.409,0
indoor,191.216,3,0,915.0,-116.602,-108.167,-110.884,1
urban,165.456,0,0,915.0,-93.652,-93.612,-86.556,2
indoor,157.601,1,0,2400.0,-100.379,-98.174,-97.762,2
indoor,153.734,1,0,915.0,-98.419,-102.889,-104.982,0
urban,86.905,0,0,2400.0,-83.586,-80.253,-83.498,1
indoor,21.746,1,0,2400.0,-75.06,-73.35,-70.306,2
urban,5.032,0,0,2400.0,-50.171,-49.833,-50.358,1
urban,106.279,0,0,915.0,-91.548,-85.242,-85.91,1
urban,45.143,0,0,915.0,-75.851,-79.419,-77.418,0
indoor,196.274,3,1,915.0,-120.888,-117.666,-119.568,1
rural,30.696,0,1,915.0,-68.458,-68.767,-63.807,2
indoor,184.65,2,0,915.0,-105.639,-108.967,-105.402,2
rural,7.86,0,0,2400.0,-44.27,-48.261,-46.593,0
urban,12.938,0,0,915.0,-64.393,-54.086,-65.05,1
urban,42.32,0,0,2400.0,-73.555,-71.786,-79.026,1
indoor,18.091,0,0,915.0,-73.182,-71.719,-72.854,1
indoor,84.237,1,1,2400.0,-96.57,-96.506,-96.986,1
indoor,182.763,1,0,2400.0,-102.315,-103.012,-105.383,0
urban,52.173,0,0,915.0,-77.269,-79.992,-82.707,0
indoor,94.358,1,1,2400.0,-101.041,-97.384,-100.956,1
urban,175.145,0,0,2400.0,-89.478,-85.01,-87.132,1
indoor,49.017,0,0,2400.0,-83.193,-82.322,-83.401,1
indoor,110.242,1,0,915.0,-99.516,-95.977,-95.605,2
rural,119.225,0,0,915.0,-71.243,-75.5,-74.574,0
indoor,16.822,1,1,2400.0,-75.008,-72.276,-76.22,1
urban,189.681,0,0,2400.0,-92.043,-97.097,-97.327,0
urban,63.517,0,0,915.0,-81.208,-76.092,-84.742,1
indoor,158.191,0,0,915.0,-95.477,-101.206,-94.823,2
indoor,37.678,1,1,915.0,-88.933,-88.935,-92.091,0
urban,183.814,0,0,915.0,-90.652,-94.304,-93.766,0
urban,99.611,0,0,2400.0,-83.228,-79.289,-83.899,1
urban,88.938,0,0,915.0,-79.763,-86.252,-87.555,0
indoor,146.594,1,1,2400.0,-102.064,-99.568,-109.353,1
rural,68.16,0,0,915.0,-70.466,-67.641,-61.791,2
urban,156.403,0,0,2400.0,-86.576,-89.961,-91.322,0
urban,183.898,0,1,915.0,-105.632,-102.884,-96.667,2
indoor,17.629,1,0,2400.0,-68.347,-74.282,-73.989,0
urban,128.548,0,0,2400.0,-85.852,-83.516,-86.228,1
indoor,51.782,2,0,915.0,-93.226,-92.732,-91.399,2
indoor,33.274,1,0,915.0,-83.896,-84.32,-82.65,2
urban,188.845,0,0,915.0,-96.027,-95.821,-95.531,2
